src,dst,distance,time,price_per_km,price
16219,16219,0.0,0.0,238.8,0.0
16219,10270,71899.0,3777.0,120.8,8685399.2
16219,11461,75084.0,4714.0,129.0,9685836.0
16219,10303,112929.0,5178.0,49.0,5533521.0
16219,15973,110733.0,5240.0,117.0,12955761.0
16219,14724,131489.0,6394.0,112.59,14804346.51
16219,10708,1473143.0,70709.0,71.7948,105764007.05639999
16219,13503,106371.0,6060.0,104.16,11079603.36
16219,19311,981390.0,50017.0,78.0,76548420.0
16219,10570,1382581.0,67098.0,72.765,100603506.465
16219,13578,1620068.0,78322.0,69.3,112270712.39999999
16219,10044,69660.0,4373.0,55.3,3852198.0
16219,15401,1615826.0,78070.0,85.0,137345210.0
16219,18863,779402.0,32782.0,115.0,89631230.0
16219,11267,1095165.0,51836.0,87.0,95279355.0
16219,12627,74753.0,4482.0,129.0,9643137.0
16219,17784,173181.0,9417.0,119.0,20608539.0
16219,13651,1388503.0,67285.0,73.7352,102381546.40560001
16219,13183,1449834.0,72032.0,85.0,123235890.0
16219,15872,23442.0,1805.0,255.0,5977710.0
16219,14076,16066.0,1225.0,238.8,3836560.8000000003
16219,16991,761140.0,32246.0,85.0,64696900.0
16219,12663,621272.0,33181.0,83.0,51565576.0
16219,12214,1826496.0,92821.0,67.914,124044649.344
16219,19921,126991.0,5840.0,53.199999999999996,6755921.199999999
16219,18144,253599.0,14341.0,30.0762,7627294.2438
16219,19371,1615631.0,77948.0,85.0,137328635.0
16219,16053,3175589.0,157245.0,90.0,285803010.0
16219,18978,2754696.0,130452.0,90.0,247922640.0
16219,17312,1609296.0,77820.0,85.0,136790160.0
16219,19956,3443807.0,170597.0,90.0,309942630.0
16219,12573,783570.0,39768.0,82.32,64503482.39999999
16219,19469,481676.0,23036.0,41.425999999999995,19953909.975999996
16219,11861,1617637.0,82709.0,85.0,137499145.0
16219,10327,991193.0,51110.0,85.0,84251405.0
16219,17547,126502.0,5718.0,53.199999999999996,6729906.399999999
16219,19180,484181.0,26591.0,69.85,33820042.849999994
16219,12985,90650.0,4518.0,124.0,11240600.0
16219,14005,53442.0,3670.0,148.0,7909416.0
16219,16142,3231695.0,149999.0,90.0,290852550.0
16219,15916,1793586.0,86389.0,86.13,154481562.17999998
16219,17770,4997843.0,249666.0,90.0,449805870.0
16219,12364,3936594.0,179802.0,90.0,354293460.0
16219,13179,538201.0,25377.0,66.9438,36029220.1038
16219,19539,1095068.0,51793.0,87.0,95270916.0
16219,17822,258444.0,11826.0,115.0,29721060.0
16219,16262,1060553.0,52885.0,78.0,82723134.0
16219,16133,1683941.0,84709.0,77.616,130700764.656
16219,10178,463837.0,25568.0,21.0,9740577.0
16219,11568,1133782.0,53060.0,81.0,91836342.0
16219,13431,1404953.0,72769.0,82.0,115206146.0
16219,19185,1225121.0,58164.0,73.7352,90334541.95920001
16219,16366,3907143.0,179126.0,90.0,351642870.0
16219,13680,8196323.0,399045.0,72.0,590135256.0
16219,11027,3282044.0,157940.0,90.0,295383960.0
16219,10904,549224.0,25862.0,90.7,49814616.800000004
16219,17535,1417178.0,73744.0,82.0,116208596.0
16219,19171,1275147.0,64354.0,84.0,107112348.0
16219,11214,1415133.0,72843.0,82.0,116040906.0
16219,16916,1790537.0,86505.0,86.13,154218951.81
16219,18476,853196.0,45765.0,100.0,85319600.0
