src_office_id,dst_office_id,volume
12652,16339,1
15008,17223,287
11112,13165,300
16325,16117,122
11561,16236,1
18441,18110,300
16117,10963,1
11209,17464,1
15891,10955,1
18812,12562,1
19915,11261,67
17282,11200,28
11147,12216,1
13417,13100,1
12940,12216,1
12352,15948,1
12352,18448,261
16117,13917,69
15891,10568,1
17522,16236,88
14234,12868,43
19915,18799,91
19300,11455,45
18542,15183,1
16855,19134,1
13694,13582,1
12205,19502,236
18941,12652,259
10748,13582,1
13694,14704,300
12652,10044,168
10705,15651,300
11112,13694,300
15483,15891,1
13088,11147,300
13917,13417,1
16236,15483,1
13073,12652,300
12352,13454,300
13636,11181,300
11147,19430,300
15483,11209,300
18411,15008,1
19300,12940,300
10916,10177,1
15270,12562,300
13509,15724,271
12940,10177,91
15270,10867,300
11200,11853,1
11200,12270,1
15891,14704,63
16325,16108,1
16236,12355,1
18441,13917,39
16325,18941,193
15483,18812,1
12616,10916,300
18812,15651,1
13509,19971,1
10705,18799,211
10916,18448,237
12868,13165,300
10916,11022,43
12352,18799,119
13555,16108,188
14736,11455,1
18542,18799,300
11200,16339,1
16117,15483,1
15483,13170,1
11112,15601,1
10916,12355,185
18542,15651,1
10748,16855,1
14234,13417,1
17516,18827,146
18812,14234,1
15183,12352,300
12652,14234,122
10748,15724,1
13563,11209,300
14234,16108,1
15077,19300,97
11466,10044,1
15483,17522,58
11209,19273,1
18441,17522,300
15378,16236,300
16117,17752,300
13694,17464,300
12940,15183,1
18827,18812,300
10705,15183,1
18542,12633,1
11112,10985,300
12352,11147,1
16028,13165,300
11209,17223,300
15601,15008,1
13636,14053,1
12868,16887,1
13694,11561,163
11112,16028,253
15264,12652,300
19333,15008,1
12868,15264,95
15483,12216,239
15891,13170,300
13555,17223,1
12868,19273,300
13417,19239,300
10748,10269,1
19300,16962,108
18542,13917,201
12940,13454,21
19880,12355,1
14519,11561,300
12369,19915,300
12205,19147,6
16855,17504,1
12940,18799,145
17282,15241,1
18827,16117,111
14234,15651,50
13694,12868,300
17282,15651,300
11147,13460,300
12868,15270,1
16117,19143,300
17282,10867,300
12868,10796,300
10748,14704,1
17282,16108,229
12652,11209,1
15891,18411,16
12868,13454,98
11561,16855,300
15483,13073,185
18441,17781,300
10916,15183,1
15008,10044,1
15008,18411,1
10044,19143,300
10044,12616,163
16117,15378,300
17282,15378,1
10916,17282,300
11147,18812,1
16236,19971,300
13694,13088,1
11147,11181,1
13555,15264,300
13417,13460,300
12652,19147,300
15891,12940,1
15008,13665,76
13636,18827,1
19300,13100,11
19915,19500,1
12940,13917,1
13636,13665,1
18542,18941,234
11112,19846,300
10748,16962,246
18542,10867,227
15891,11466,1
16236,19785,221
19147,18812,300
11200,18827,185
18448,17464,300
17010,12205,37
15008,17522,1
18542,17752,300
16117,14704,300
15008,10301,1
13563,12652,128
19915,13917,265
16325,18827,1
13694,17282,300
13417,13563,1
10748,16339,144
11147,10657,300
17738,13417,1
11112,11853,300
16325,10963,214
10955,12352,300
18219,18812,1
16236,15948,300
11853,12868,166
10657,16236,1
18542,13665,300
16117,16887,1
10568,13555,300
16325,15241,1
10867,14519,1
11112,17738,1
15483,10568,1
12352,17781,1
15483,11455,4
13509,11163,300
11112,15948,300
18441,18812,1
19915,10985,1
10748,19239,112
19500,12868,136
19915,11147,1
18827,12633,1
10568,10705,1
18812,12216,1
11200,10705,184
12652,17522,1
10916,11189,300
10568,13417,230
17282,11163,233
11209,19430,300
15891,10326,163
15891,13694,1
15891,19430,1
19300,12355,1
15008,11200,300
13509,15891,1
18941,16855,1
13165,13417,1
15008,10326,300
19300,11181,300
17010,12355,1
18441,19785,1
16236,11163,300
18542,17282,300
18542,10269,300
16236,16117,283
13636,10705,159
15891,13917,300
16236,15601,300
18812,10657,300
11147,14053,155
11147,10301,122
16325,15483,300
11112,19273,300
15183,15008,300
15008,19430,1
18827,11189,1
13694,19143,1
11200,18411,300
11112,19502,1
10916,15651,1
11209,18110,68
13917,12973,300
15008,19273,1
11209,14704,1
19300,18411,1
11022,15008,1
12616,13417,85
10916,17223,300
18812,12633,1
15183,12868,1
11209,13917,1
10916,13170,165
15483,12355,1
17282,16117,1
16117,19502,90
13636,19147,74
12205,10044,87
18812,11209,300
13417,16683,130
19430,11209,99
17282,16683,1
15241,11209,1
19915,13665,236
15601,12652,300
11209,19147,300
18542,10901,52
16683,14519,1
12652,18448,300
13417,10955,1
18542,12562,1
19333,13417,300
14519,13170,183
15483,19502,300
13555,10326,295
15891,10748,1
11147,14736,8
10748,17752,300
19915,10657,1
11200,10748,1
11200,17282,96
16325,19430,8
13636,19333,225
18827,10705,271
13694,10796,1
10705,13165,103
12352,19143,95
19915,19333,224
18827,11466,97
11147,14358,1
12352,13088,300
18441,13563,1
17282,10269,33
13509,16117,45
10748,10796,300
11147,17781,269
15378,17738,300
13088,12352,64
11200,10796,300
18219,17282,300
11112,15008,22
16325,15848,1
15008,12633,196
12216,18827,300
11112,14358,1
11112,17781,300
12940,10657,300
16236,14234,216
17282,19846,1
12616,14234,95
11112,18448,1
19915,10269,300
16117,15183,300
15008,15651,1
12352,14358,300
10916,17738,300
10705,10269,274
18827,19846,1
10705,10177,300
13555,16339,1
15483,13563,1
17738,16236,1
10301,12205,1
18542,12868,1
10568,10916,270
11112,10796,300
19300,18219,300
19300,10748,1
16683,12868,215
10916,11561,300
12352,18219,296
16236,19502,1
12205,12355,1
13694,10316,300
11209,16339,300
13694,14358,300
13555,10177,29
11200,19239,300
13694,17522,300
18827,13665,1
10748,14234,71
13165,16117,1
12868,15185,300
16325,19971,300
17282,12270,300
11209,11466,18
12355,14234,148
13417,11163,158
18542,12216,294
18441,16117,300
13509,10867,1
18441,17282,1
18827,13088,1
14257,18448,300
11112,12746,1
17010,13417,268
12652,13237,300
16236,10796,292
13509,12562,1
11147,13454,90
15891,11209,1
12205,10748,43
10705,12633,1
16325,15264,1
18441,19239,300
13555,18941,1
16325,11209,1
15483,19134,1
18827,19143,1
16325,18411,46
10705,19239,1
10963,15848,1
10568,18827,300
16236,15378,300
16193,14234,1
16962,14519,224
18441,19500,1
16236,19500,1
15724,14519,1
18812,14736,1
12205,11200,1
12652,10748,189
17789,15008,300
12352,19273,97
14278,16236,45
15378,12205,1
11147,15185,174
16236,14704,154
17282,11022,300
18812,17781,1
15483,15724,300
12352,16683,300
13509,14053,40
12868,14053,300
15378,16117,300
16236,10705,300
17282,19143,199
13694,16683,1
14234,16193,300
19300,10316,300
12868,19502,288
15483,12369,63
18219,16683,1
18827,12216,300
12652,11181,240
15008,11022,1
13555,16028,300
18827,12652,67
13636,18411,1
15483,19785,1
16117,10867,1
18827,15724,297
19500,12205,41
16855,15848,1
11112,13917,300
10705,11853,1
17282,18812,80
12352,15378,1
18542,15264,300
19846,16887,135
12216,12652,1
18827,13454,1
18219,13509,1
12652,10796,128
18542,18219,174
12352,17522,300
11147,19147,107
12205,15378,1
12652,11022,67
12205,11209,181
12940,19846,1
16325,19785,1
16117,12369,1
10748,19273,1
12868,11163,1
10916,13840,1
13417,14234,52
18411,10796,203
11261,15008,1
16236,15724,1
11200,14358,1
18219,10748,300
15483,14053,1
14234,17464,1
12940,10963,191
18542,14358,300
17223,14519,1
13694,15183,146
19915,13073,300
12562,12369,221
10963,10916,300
13694,19300,300
19300,19785,1
17522,13417,1
18542,14704,285
18827,13917,300
12355,13417,300
12940,15241,300
11147,16028,25
18812,12746,273
11209,11181,300
12940,13460,300
13555,18812,1
11112,16962,1
18827,19239,300
11112,18110,1
12205,17522,1
17223,18110,236
19846,11209,1
11209,11200,110
19300,13665,1
19300,13460,114
18827,17738,283
10748,17282,1
16236,12652,300
11200,17752,103
18827,10326,300
19300,12369,282
10955,11147,1
11200,15891,94
16117,11147,252
10568,10901,1
12940,10705,300
13555,17522,300
14234,11466,300
11200,13563,90
19300,16855,300
10867,15270,1
18441,16108,1
10568,19239,1
11112,14704,300
16117,14053,300
18542,18110,300
13509,13563,168
13555,13917,1
16117,17781,192
16325,13917,1
18441,11163,57
11200,10326,28
19915,15948,1
12352,10748,300
12205,18827,28
11112,13073,188
15483,16855,218
10916,10748,271
10748,12652,300
11209,13237,300
13417,19273,300
10044,12205,1
18827,10657,1
13694,19333,300
11200,13170,300
11147,13073,126
10748,13170,1
10748,15241,64
16325,17522,300
10705,13088,1
13694,18448,1
12355,18827,1
19300,19333,47
13170,12652,1
12940,17223,18
16325,10301,300
13636,17781,300
13509,11189,1
10301,12868,1
10963,12652,1
18812,13237,270
13489,16236,1
16236,18219,270
17282,10796,1
16325,11853,300
18812,19239,204
11112,18219,1
18812,11181,300
11147,15483,1
16117,18411,300
15264,14519,300
10568,11200,1
19915,18411,1
19300,11561,1
19300,11022,1
19333,11209,102
13582,12868,300
10705,10044,279
19300,14704,297
12652,19500,1
12352,13582,1
19915,12652,300
16117,13237,300
11147,13582,1
13417,16962,300
12652,13917,300
18542,13694,300
15077,10916,184
12205,19239,1
14234,17752,1
13694,10568,27
18219,12652,300
11200,10963,90
18542,18448,300
12868,14234,300
12205,18110,300
13694,15891,1
14234,15185,9
12616,11466,1
17282,13582,217
11561,15008,300
15891,13582,1
17516,10044,300
19500,16236,287
11112,15724,300
14358,16855,125
18812,10985,300
10705,12355,223
12352,11466,1
18827,15601,1
10044,18448,281
11147,19239,1
18441,13100,1
12562,12352,276
15483,10657,1
13509,16962,300
12940,19785,44
18812,12270,257
15008,16108,1
12652,16108,1
11147,10326,69
