src,dst,distance,time,price_per_km,price
12652,12652,0.0,0.0,238.8,0.0
12652,15008,71899.0,3777.0,120.8,8685399.2
12652,11112,75084.0,4714.0,129.0,9685836.0
12652,16325,114634.0,5245.0,49.0,5617066.0
12652,11561,1945090.0,93919.0,80.0,155607200.0
12652,18441,112929.0,5178.0,49.0,5533521.0
12652,16117,212712.0,10044.0,101.0,21483912.0
12652,11209,110733.0,5240.0,117.0,12955761.0
12652,15891,88636.0,4640.0,108.0,9572688.0
12652,18812,131489.0,6394.0,112.59,14804346.51
12652,19915,1473143.0,70709.0,71.7948,105764007.05639999
12652,17282,106371.0,6060.0,104.16,11079603.36
12652,11147,981390.0,50017.0,78.0,76548420.0
12652,13417,90650.0,4518.0,124.0,11240600.0
12652,12940,487151.0,25531.0,16.799999999999997,8184136.799999999
12652,12352,1382581.0,67098.0,72.765,100603506.465
12652,17522,1620068.0,78322.0,69.3,112270712.39999999
12652,14234,2754696.0,130452.0,90.0,247922640.0
12652,19300,53442.0,3670.0,148.0,7909416.0
12652,18542,69660.0,4373.0,55.3,3852198.0
12652,16855,1615826.0,78070.0,85.0,137345210.0
12652,13694,779402.0,32782.0,115.0,89631230.0
12652,12205,1095165.0,51836.0,87.0,95279355.0
12652,18941,1143207.0,59091.0,81.0,92599767.0
12652,10748,74753.0,4482.0,129.0,9643137.0
12652,10705,173181.0,9417.0,119.0,20608539.0
12652,15483,761140.0,32246.0,85.0,64696900.0
12652,13088,1388503.0,67285.0,73.7352,102381546.40560001
12652,13917,1449834.0,72032.0,85.0,123235890.0
12652,16236,23442.0,1805.0,255.0,5977710.0
12652,13073,16066.0,1225.0,238.8,3836560.8000000003
12652,13636,126502.0,5718.0,53.199999999999996,6729906.399999999
12652,18411,621272.0,33181.0,83.0,51565576.0
12652,10916,3175589.0,157245.0,90.0,285803010.0
12652,15270,1826496.0,92821.0,67.914,124044649.344
12652,13509,126991.0,5840.0,53.199999999999996,6755921.199999999
12652,11200,253599.0,14341.0,30.0762,7627294.2438
12652,12616,1615631.0,77948.0,85.0,137328635.0
12652,12868,803634.0,40175.0,50.4481,40541808.395399995
12652,13555,1021901.0,50487.0,85.0,86861585.0
12652,14736,733822.0,38630.0,71.7948,52684603.7256
12652,17516,1156973.0,59638.0,81.0,93714813.0
12652,15183,1609296.0,77820.0,85.0,136790160.0
12652,13563,3443807.0,170597.0,90.0,309942630.0
12652,15077,783570.0,39768.0,82.32,64503482.39999999
12652,11466,2741188.0,134431.0,90.0,246706920.0
12652,15378,481676.0,23036.0,41.425999999999995,19953909.975999996
12652,18827,765368.0,39423.0,65.0,49748920.0
12652,16028,1617637.0,82709.0,85.0,137499145.0
12652,15601,991193.0,51110.0,85.0,84251405.0
12652,15264,919478.0,48743.0,69.0,63443982.0
12652,19333,484181.0,26591.0,69.85,33820042.849999994
12652,19880,3231695.0,149999.0,90.0,290852550.0
12652,14519,138686.0,6681.0,112.59,15614656.74
12652,12369,1793586.0,86389.0,86.13,154481562.17999998
12652,10044,1629530.0,78770.0,69.3,112926429.0
12652,19147,2011380.0,98094.0,80.0,160910400.0
12652,18448,4997843.0,249666.0,90.0,449805870.0
12652,17010,3936594.0,179802.0,90.0,354293460.0
12652,17738,538201.0,25377.0,66.9438,36029220.1038
12652,10955,1095068.0,51793.0,87.0,95270916.0
12652,18219,122627.0,7241.0,121.28,14872202.56
12652,11853,470570.0,24472.0,37.8,17787546.0
12652,10657,258444.0,11826.0,115.0,29721060.0
12652,10568,1060553.0,52885.0,78.0,82723134.0
12652,10867,1813374.0,92665.0,67.914,123153481.836
12652,19500,1417178.0,73744.0,82.0,116208596.0
12652,13165,1683941.0,84709.0,77.616,130700764.656
12652,11022,463837.0,25568.0,21.0,9740577.0
12652,19430,1133782.0,53060.0,81.0,91836342.0
12652,15241,1404953.0,72769.0,82.0,115206146.0
12652,16683,395736.0,21409.0,80.0,31658880.0
12652,12216,1275147.0,64354.0,84.0,107112348.0
12652,10301,1225121.0,58164.0,73.7352,90334541.95920001
12652,12355,3907143.0,179126.0,90.0,351642870.0
12652,14257,8196323.0,399045.0,72.0,590135256.0
12652,10963,3435246.0,170375.0,90.0,309172140.0
12652,16193,3282044.0,157940.0,90.0,295383960.0
12652,16962,1095327.0,51827.0,87.0,95293449.0
12652,15724,516983.0,28932.0,38.5,19903845.5
12652,17789,85500.0,5157.0,108.0,9234000.0
12652,14278,549224.0,25862.0,90.7,49814616.800000004
12652,19846,3455513.0,167898.0,90.0,310996170.0
12652,11261,1415133.0,72843.0,82.0,116040906.0
12652,17223,853196.0,45765.0,100.0,85319600.0
12652,12562,1790537.0,86505.0,86.13,154218951.81
12652,13170,102174.0,4843.0,50.4,5149569.6
12652,13489,91212.0,5234.0,124.0,11310288.0
12652,13582,582082.0,30252.0,90.7,52794837.4
12652,14358,3960011.0,196820.0,90.0,356400990.0
12652,16108,3539040.0,175317.0,90.0,318513600.0
12652,10796,747477.0,38961.0,115.0,85959855.0
12652,18799,1272608.0,64206.0,84.0,106899072.0
12652,10375,1710195.0,85004.0,101.0,172729695.0
12652,13665,2537947.0,125220.0,90.0,228415230.0
12652,15185,2948424.0,144626.0,86.3478,254589925.86720002
12652,13454,1250490.0,66562.0,85.0,106291650.0
12652,14053,146074.0,8207.0,112.59,16446471.66
12652,10901,980805.0,50314.0,78.0,76502790.0
12652,15948,465957.0,24483.0,70.0,32616990.0
12652,12973,1700451.0,83936.0,101.0,171745551.0
12652,12746,129026.0,6095.0,46.9,6051319.399999999
12652,11181,267631.0,13431.0,115.0,30777565.0
12652,19143,1733642.0,84076.0,78.59,136246924.78
12652,19785,661179.0,31904.0,83.0,54877857.0
12652,13237,108129.0,6284.0,51.099999999999994,5525391.899999999
12652,15651,3182639.0,157892.0,90.0,286437510.0
12652,15848,3186921.0,157359.0,90.0,286822890.0
12652,11455,570871.0,30933.0,90.7,51777999.7
12652,14425,1330175.0,68442.0,80.0,106414000.0
12652,17752,3950823.0,196055.0,90.0,355574070.0
12652,14060,23439.0,1804.0,255.0,5976945.0
12652,10316,628280.0,33227.0,83.0,52147240.0
12652,19134,4155737.0,207915.0,85.0,353237645.0
12652,13460,297281.0,16411.0,80.0,23782480.0
12652,15686,3948778.0,195960.0,90.0,355390020.0
12652,11189,1710208.0,85007.0,101.0,172731008.0
12652,10326,8926579.0,432100.0,72.0,642713688.0
12652,10269,1653582.0,81406.0,69.3,114593232.6
12652,17464,6082008.0,301210.0,90.0,547380720.0
12652,19273,732353.0,38666.0,71.7948,52579137.1644
12652,13840,1733782.0,93799.0,78.59,136257927.38
12652,14704,1065820.0,50196.0,78.0,83133960.0
12652,19239,978420.0,50124.0,78.0,76316760.0
12652,19502,783089.0,39652.0,82.32,64463886.48
12652,17504,5434494.0,272373.0,90.0,489104460.0
12652,18110,852973.0,45727.0,100.0,85297300.0
12652,11163,1951169.0,94480.0,80.0,156093520.0
12652,12633,8194051.0,398949.0,72.0,589971672.0
12652,16339,4639227.0,236546.0,90.0,417530430.0
12652,13989,1678556.0,84464.0,77.62,130289516.72000001
12652,18149,837593.0,44796.0,100.0,83759300.0
12652,10177,7541247.0,368329.0,72.0,542969784.0
12652,12270,1294112.0,66855.0,80.0,103528960.0
12652,13100,1773198.0,85811.0,100.0,177319800.0
12652,17781,1061095.0,52951.0,78.0,82765410.0
12652,19971,3042186.0,150100.0,86.3478,262686068.2908
12652,16887,3523230.0,174244.0,90.0,317090700.0
12652,10985,887053.0,40550.0,64.0,56771392.0
12652,15976,3757390.0,173244.0,90.0,338165100.0
15008,12652,64595.0,3976.0,120.8,7803076.0
15008,15008,0.0,0.0,225.0,0.0
15008,11112,53491.0,3264.0,139.0,7435249.0
15008,16325,71332.0,3853.0,64.39999999999999,4593780.8
15008,11561,2008763.0,96146.0,79.56,159817184.28
15008,18441,69627.0,3786.0,58.8,4094067.5999999996
15008,16117,169411.0,8651.0,106.0,17957566.0
15008,11209,67431.0,3847.0,126.0,8496306.0
15008,15891,75075.0,4159.0,56.699999999999996,4256752.5
15008,18812,110670.0,5781.0,42.699999999999996,4725608.999999999
15008,19915,1430509.0,69285.0,85.0,121593265.0
15008,17282,83843.0,4547.0,126.0,10564218.0
15008,11147,957305.0,48674.0,40.0,38292200.0
15008,13417,45008.0,2930.0,231.0,10396848.0
15008,12940,463065.0,24188.0,74.48,34489081.2
15008,12352,1339947.0,65674.0,84.0,112555548.0
15008,17522,1683741.0,80549.0,79.56,133958433.96000001
15008,14234,2818369.0,132680.0,79.56,224229437.64000002
15008,19300,30783.0,1856.0,225.0,6926175.0
15008,18542,47132.0,2859.0,79.1,3728141.1999999997
15008,16855,1679499.0,80297.0,79.56,133620940.44
15008,13694,758583.0,32170.0,81.4968,61822087.03439999
15008,12205,1052531.0,50412.0,75.6756,79650914.9436
15008,18941,1206880.0,61319.0,71.0,85688480.0
15008,10748,69425.0,3782.0,58.8,4082190.0
15008,10705,142910.0,8136.0,84.0,12004440.0
15008,15483,740321.0,31634.0,81.4968,60333792.472799994
15008,13088,1345870.0,65861.0,84.0,113053080.0
15008,13917,1425488.0,73172.0,85.0,121166480.0
15008,16236,66069.0,4148.0,113.0,7465797.0
15008,13073,93443.0,4423.0,126.0,11773818.0
15008,13636,83200.0,4325.0,57.4,4775680.0
15008,18411,591002.0,31900.0,79.0,46689158.0
15008,10916,3239262.0,159472.0,79.56,257715684.72
15008,15270,1802411.0,91478.0,79.56,143399819.16
15008,13509,83689.0,4448.0,54.599999999999994,4569419.399999999
15008,11200,317272.0,16568.0,76.0,24112672.0
15008,12616,1679304.0,80175.0,79.56,133605426.24000001
15008,12868,792252.0,38750.0,79.56,63031569.120000005
15008,13555,999159.0,51271.0,70.0,69941130.0
15008,14736,690521.0,37237.0,80.0,55241680.0
15008,17516,1220646.0,61865.0,71.0,86665866.0
15008,15183,1566663.0,76395.0,82.0,128466366.0
15008,13563,3507480.0,172824.0,79.56,279055108.8
15008,15077,847243.0,41995.0,82.32,69745043.75999999
15008,11466,2804861.0,136658.0,79.56,223154741.16
15008,15378,439043.0,21612.0,76.0,33367268.0
15008,18827,829041.0,41650.0,65.0,53887665.0
15008,16028,1681310.0,84937.0,79.56,133765023.60000001
15008,15601,1054866.0,53337.0,85.0,89663610.0
15008,15264,983151.0,50970.0,70.0,68820570.0
15008,19333,500816.0,27649.0,80.0,40065280.0
15008,19880,3207349.0,151139.0,79.56,255176686.44
15008,14519,117635.0,6105.0,103.0,12116405.0
15008,12369,1750953.0,84965.0,79.56,139305820.68
15008,10044,1693203.0,80997.0,79.56,134711230.68
15008,19147,1990562.0,97481.0,79.56,158369112.72
15008,18448,5061516.0,251893.0,79.56,402694212.96000004
15008,17010,3912248.0,180943.0,79.56,311258450.88
15008,17738,495568.0,23952.0,74.48,36909904.64
15008,10955,1052435.0,50369.0,75.6756,79643650.08600001
15008,18219,186653.0,9515.0,104.0,19411912.0
15008,11853,446484.0,23129.0,76.0,33932784.0
15008,10657,237625.0,11214.0,104.0,24713000.0
15008,10568,1037812.0,53668.0,75.6756,78537045.7872
15008,10867,1789288.0,91322.0,79.56,142355753.28
15008,19500,1393092.0,72401.0,85.0,118412820.0
15008,13165,1747614.0,86937.0,79.56,139040169.84
15008,11022,452455.0,24143.0,74.48,33698848.4
15008,19430,1122401.0,51634.0,71.0,79690471.0
15008,15241,1380868.0,71426.0,85.0,117373780.0
15008,16683,459409.0,23636.0,74.48,34216782.32
15008,12216,1338820.0,66582.0,84.0,112460880.0
15008,10301,1182487.0,56739.0,71.0,83956577.0
