,office_name,office_id,transfer_price,transfer_max
0,office_12652,12652,100.0,300.0
1,office_15008,15008,100.0,300.0
2,office_11112,11112,100.0,300.0
3,office_16325,16325,100.0,300.0
4,office_11561,11561,100.0,300.0
5,office_18441,18441,100.0,300.0
6,office_16117,16117,100.0,300.0
7,office_11209,11209,100.0,300.0
8,office_15891,15891,100.0,300.0
9,office_18812,18812,100.0,300.0
10,office_19915,19915,100.0,300.0
11,office_17282,17282,100.0,300.0
12,office_11147,11147,100.0,300.0
13,office_13417,13417,100.0,300.0
14,office_12940,12940,100.0,300.0
15,office_12352,12352,100.0,300.0
16,office_17522,17522,100.0,300.0
17,office_14234,14234,100.0,300.0
18,office_19300,19300,100.0,300.0
19,office_18542,18542,100.0,300.0
20,office_16855,16855,100.0,300.0
21,office_13694,13694,100.0,300.0
22,office_12205,12205,100.0,300.0
23,office_18941,18941,100.0,300.0
24,office_10748,10748,100.0,300.0
25,office_10705,10705,100.0,300.0
26,office_15483,15483,100.0,300.0
27,office_13088,13088,100.0,300.0
28,office_13917,13917,100.0,300.0
29,office_16236,16236,100.0,300.0
30,office_13073,13073,100.0,300.0
31,office_13636,13636,100.0,300.0
32,office_18411,18411,100.0,300.0
33,office_10916,10916,100.0,300.0
34,office_15270,15270,100.0,300.0
35,office_13509,13509,100.0,300.0
36,office_11200,11200,100.0,300.0
37,office_12616,12616,100.0,300.0
38,office_12868,12868,100.0,300.0
39,office_13555,13555,100.0,300.0
40,office_14736,14736,100.0,300.0
41,office_17516,17516,100.0,300.0
42,office_15183,15183,100.0,300.0
43,office_13563,13563,100.0,300.0
44,office_15077,15077,100.0,300.0
45,office_11466,11466,100.0,300.0
46,office_15378,15378,100.0,300.0
47,office_18827,18827,100.0,300.0
48,office_16028,16028,100.0,300.0
49,office_15601,15601,100.0,300.0
50,office_15264,15264,100.0,300.0
51,office_19333,19333,100.0,300.0
52,office_19880,19880,100.0,300.0
53,office_14519,14519,100.0,300.0
54,office_12369,12369,100.0,300.0
55,office_10044,10044,100.0,300.0
56,office_19147,19147,100.0,300.0
57,office_18448,18448,100.0,300.0
58,office_17010,17010,100.0,300.0
59,office_17738,17738,100.0,300.0
60,office_10955,10955,100.0,300.0
61,office_18219,18219,100.0,300.0
62,office_11853,11853,100.0,300.0
63,office_10657,10657,100.0,300.0
64,office_10568,10568,100.0,300.0
65,office_10867,10867,100.0,300.0
66,office_19500,19500,100.0,300.0
67,office_13165,13165,100.0,300.0
68,office_11022,11022,100.0,300.0
69,office_19430,19430,100.0,300.0
70,office_15241,15241,100.0,300.0
71,office_16683,16683,100.0,300.0
72,office_12216,12216,100.0,300.0
73,office_10301,10301,100.0,300.0
74,office_12355,12355,100.0,300.0
75,office_14257,14257,100.0,300.0
76,office_10963,10963,100.0,300.0
77,office_16193,16193,100.0,300.0
78,office_16962,16962,100.0,300.0
79,office_15724,15724,100.0,300.0
80,office_17789,17789,100.0,300.0
81,office_14278,14278,100.0,300.0
82,office_19846,19846,100.0,300.0
83,office_11261,11261,100.0,300.0
84,office_17223,17223,100.0,300.0
85,office_12562,12562,100.0,300.0
86,office_13170,13170,100.0,300.0
87,office_13489,13489,100.0,300.0
88,office_13582,13582,100.0,300.0
89,office_14358,14358,100.0,300.0
90,office_16108,16108,100.0,300.0
91,office_10796,10796,100.0,300.0
92,office_18799,18799,100.0,300.0
93,office_10375,10375,100.0,300.0
94,office_13665,13665,100.0,300.0
95,office_15185,15185,100.0,300.0
96,office_13454,13454,100.0,300.0
97,office_14053,14053,100.0,300.0
98,office_10901,10901,100.0,300.0
99,office_15948,15948,100.0,300.0
100,office_12973,12973,100.0,300.0
101,office_12746,12746,100.0,300.0
102,office_11181,11181,100.0,300.0
103,office_19143,19143,100.0,300.0
104,office_19785,19785,100.0,300.0
105,office_13237,13237,100.0,300.0
106,office_15651,15651,100.0,300.0
107,office_15848,15848,100.0,300.0
108,office_11455,11455,100.0,300.0
109,office_14425,14425,100.0,300.0
110,office_17752,17752,100.0,300.0
111,office_14060,14060,100.0,300.0
112,office_10316,10316,100.0,300.0
113,office_19134,19134,100.0,300.0
114,office_13460,13460,100.0,300.0
115,office_15686,15686,100.0,300.0
116,office_11189,11189,100.0,300.0
117,office_10326,10326,100.0,300.0
118,office_10269,10269,100.0,300.0
119,office_17464,17464,100.0,300.0
120,office_19273,19273,100.0,300.0
121,office_13840,13840,100.0,300.0
122,office_14704,14704,100.0,300.0
123,office_19239,19239,100.0,300.0
124,office_19502,19502,100.0,300.0
125,office_17504,17504,100.0,300.0
126,office_18110,18110,100.0,300.0
127,office_11163,11163,100.0,300.0
128,office_12633,12633,100.0,300.0
129,office_16339,16339,100.0,300.0
130,office_13989,13989,100.0,300.0
131,office_18149,18149,100.0,300.0
132,office_10177,10177,100.0,300.0
133,office_12270,12270,100.0,300.0
134,office_13100,13100,100.0,300.0
135,office_17781,17781,100.0,300.0
136,office_19971,19971,100.0,300.0
137,office_16887,16887,100.0,300.0
138,office_10985,10985,100.0,300.0
139,office_15976,15976,100.0,300.0
